Date,Price
5/7/21,64.88
5/6/21,64.67
5/5/21,65.59
5/4/21,65.61
5/3/21,64.41
4/30/21,63.48
4/29/21,64.88
4/28/21,63.75
4/27/21,62.8
4/26/21,61.8
4/23/21,62.02
4/22/21,61.34
4/21/21,61.27
4/20/21,62.67
4/19/21,63.43
4/16/21,63.19
4/15/21,63.51
4/14/21,63.22
4/13/21,60.24
4/12/21,59.75
4/9/21,59.35
4/8/21,59.63
4/7/21,59.81
4/6/21,59.37
4/5/21,58.68
4/1/21,61.48
3/31/21,59.18
3/30/21,60.56
3/29/21,61.53
3/26/21,60.96
3/25/21,58.57
3/24/21,61.16
3/23/21,57.78
3/22/21,61.56
3/19/21,61.44
3/18/21,60.06
3/17/21,64.63
3/16/21,64.86
3/15/21,65.44
3/12/21,65.64
3/11/21,66
3/10/21,64.42
3/9/21,63.99
3/8/21,64.93
3/5/21,65.92
3/4/21,63.62
3/3/21,61.1
3/2/21,59.57
3/1/21,60.42
2/26/21,61.23
2/25/21,63.22
2/24/21,63
2/23/21,61.43
2/22/21,61.7
2/19/21,59.26
2/18/21,60.53
2/17/21,61.16
2/16/21,60.08
2/15/21,60.09
2/14/21,60.37
2/12/21,59.38
2/11/21,58.14
2/10/21,58.57
2/9/21,58.25
2/8/21,57.83
2/5/21,56.7
2/4/21,56.07
2/3/21,55.54
2/2/21,54.62
2/1/21,53.42
1/29/21,52.08
1/28/21,52.24
1/27/21,52.73
1/26/21,52.52
1/25/21,52.67
1/22/21,52.19
1/21/21,53.05
1/20/21,53.31
1/19/21,52.98
1/18/21,52.36
1/17/21,52.2
1/15/21,52.42
1/14/21,53.62
1/13/21,52.96
1/12/21,53.24
1/11/21,52.27
1/8/21,52.26
1/7/21,50.87
1/6/21,50.69
1/5/21,50.01
1/4/21,47.76
12/31/20,48.63
12/30/20,48.5
12/29/20,48.14
12/28/20,47.77
12/24/20,48.35
12/23/20,48.24
12/22/20,47.16
12/21/20,47.97
12/18/20,49.24
12/17/20,48.54
12/16/20,48
12/15/20,47.78
12/14/20,47.15
12/11/20,46.75
12/10/20,46.96
12/9/20,45.72
12/8/20,45.8
12/7/20,45.95
12/4/20,46.42
12/3/20,45.79
12/2/20,45.44
12/1/20,44.73
11/30/20,45.51
11/27/20,45.74
11/26/20,44.98
11/25/20,45.91
11/24/20,45.11
11/23/20,43.28
11/20/20,42.42
11/19/20,41.9
11/18/20,42.01
11/17/20,41.65
11/16/20,41.57
11/13/20,40.4
11/12/20,41.41
11/11/20,41.74
11/10/20,41.67
11/9/20,40.62
11/6/20,37.49
11/5/20,39.11
11/4/20,39.47
11/3/20,37.99
11/2/20,37.18
10/30/20,36.15
10/29/20,36.51
10/28/20,37.72
10/27/20,39.87
10/26/20,38.89
10/23/20,40.15
10/22/20,40.94
10/21/20,40.31
10/20/20,41.7
10/19/20,41.06
10/16/20,41.12
10/15/20,41.24
10/14/20,41.34
10/13/20,40.49
10/12/20,39.73
10/9/20,40.91
10/8/20,41.47
10/7/20,40.23
10/6/20,40.93
10/5/20,39.5
10/2/20,37.34
10/1/20,39.01
9/30/20,40.47
9/29/20,39.56
9/28/20,40.87
9/25/20,40.51
9/24/20,40.58
